dataset_id,dataset_name,species.key,bwg_name,category_range,stage,size_mm,bromeliad,abundance
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,211,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,216,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,221,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,226,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,231,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,236,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,241,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,246,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,251,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,256,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,261,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,266,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,271,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,276,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,281,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,286,1
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,291,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,296,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,301,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,306,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,311,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,316,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,321,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,326,0
6,Cardoso2008,4676,Diptera.10,category,larva,unknown,331,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,211,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,216,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,221,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,226,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,231,1
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,236,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,241,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,246,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,251,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,256,0
6,Cardoso2008,3431,Diptera.7,category,larva,unknown,261,0
