"species_id","bwg_name","domain","kingdom","phylum","subphylum","class","subclass","ord","subord","family","subfamily","tribe","genus","species","biomass_type","r_squared","sample_size","intercept","slope","ln_intercept"
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera",NA,NA,NA,NA,NA,"dry",0.668011085650097,8,-2.53761331326687,2.07484856327302,NA
"3546","Diptera.115","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Forcipomyia",NA,"dry",0.436677365566844,30,-2.12763790799293,1.26566298904057,NA
"3551","Diptera.15","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Atrichopogon",NA,"dry",0.0609958638754985,21,-1.78901977883054,0.328774403172554,NA
"3566","Diptera.45","Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Ceratopogoninae",NA,"Culicoides",NA,"dry",0.280373160285646,4,-1.19717544823335,-1.28010199611326,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Ceratopogoninae",NA,NA,NA,"dry",0.280373160285646,4,-1.19717544823335,-1.28010199611326,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,"dry",0.288370899884315,5,-1.93501428885722,0.8845136219588,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Forcipomyiinae",NA,"Atrichopogon",NA,"dry",0.00401557998130265,16,-1.60719436376617,0.120930369581039,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,"dry",0.00401557998130265,16,-1.60719436376617,0.120930369581039,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.742776309726702,40,-2.36729723097813,1.42238182200552,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.526493115881443,11,-2.31723803060185,1.74788849160079,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.959856562331252,4,-2.17825916495581,1.46299389431362,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.53092410266888,11,-2.30310291578352,1.57753195650548,NA
NA,NA,"Eukarya","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,"dry",0.778469963325754,11,-2.39432234532197,1.69068863967121,NA
