species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,functional_group,,,,,,,,,,,,,,,,,,,,,,,,,,length_mm,biomass_type,biomass_mg,provenance,provenance_species,,,,r_squared,sample_size,intercept,slope,ln_intercept
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,,,Metacyparis,,scraper,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.0066,length.interpolate,exact,,,,,,,,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,,,Metacyparis,,scraper,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.034,length.interpolate,exact,,,,,,,,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,,,Metacyparis,,scraper,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.015,length.interpolate,exact,,,,,,,,
,Diptera.697,Eukaryota,Animalia,Arthropoda,,Insecta,Neoptera,Diptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coleoptera.80,Eukaryota,Animalia,Arthropoda,,Insecta,Neoptera,Coleoptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,,,Dugesia,polychroa,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,dry,1.676,length.interpolate,exact,,,,,7820,0.0009669,0.0022326,
,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,,,Dugesia,polychroa,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,dry,1.558,length.interpolate,exact,,,,,7820,0.0009669,0.0022326,
,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,,,Girardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,exact,,,,0.86,28,,1.91,-4.01
,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbriculidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,exact,,,,0.74,28,,3.25,-9.19
,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,exact,,,,0.57,20,,0.74,-2.58
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,stagnalis,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,wet,2.4,length.raw,exact,,,,0.595,19,,0.88,-1.69
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,stagnalis,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,wet,20.1,length.raw,exact,,,,0.595,19,,0.88,-1.69
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,,,Erpobdella,octoculata,,,,,,,,,,,,,,,,,,,,,,,,,,,3,wet,1.1,length.raw,exact,,,,0.781,63,,0.8,-0.96
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,,,Erpobdella,octoculata,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,wet,101,length.raw,exact,,,,0.781,63,,0.8,-0.96
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Glossiphonia,complanata,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,wet,8.5,length.raw,exact,,,,0.633,97,,0.66,-0.18
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Glossiphonia,complanata,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,wet,34.6,length.raw,exact,,,,0.633,97,,0.66,-0.18
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,dry,0.000232,length.interpolate,exact,,,,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,dry,0.000318,length.interpolate,exact,,,,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,dry,0.000432,length.interpolate,exact,,,,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421,dry,0.000457,length.interpolate,exact,,,,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496,dry,0.000563,length.interpolate,exact,,,,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,dry,0.00021,length.interpolate,exact,,,,0.971,134,,0.7849,0.0922
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,dry,0.000396,length.interpolate,exact,,,,0.971,134,,0.7849,0.0922
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,dry,0.000536,length.interpolate,exact,,,,0.971,134,,0.7849,0.0922
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,dry,0.000548,length.interpolate,exact,,,,0.971,134,,0.7849,0.0922
