country,bromeliad_id,day,class,ord,family,subfamily,genus,species,abundance,size_mm,dry_mass_mg,bromspecies,predator,resource,bwg_name,stage
bras,E28,2022-04-02,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.16,0.183,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-02,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.71,0.26,alcantarea_imperialis,absent,control,NA,adult
bras,E21,2022-04-03,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E12,2022-04-04,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.96,0.212,alcantarea_imperialis,present,control,NA,adult
bras,E23,2022-04-05,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp1,1,2.19,0.088,alcantarea_imperialis,absent,enriched,NA,adult
bras,E9,2022-04-05,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.57,0.08,alcantarea_imperialis,present,control,NA,adult
bras,E1,2022-04-06,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.71,0.148,alcantarea_imperialis,present,enriched,NA,adult
bras,E1,2022-04-06,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E1,2022-04-06,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E30,2022-04-06,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E6,2022-04-06,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E22,2022-04-06,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.8,0.115,alcantarea_imperialis,absent,enriched,NA,adult
