species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,stage,biomass_type,r_squared,sample_size,intercept,slope,ln_intercept
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,NA,NA,NA,NA,NA,larva,dry,0.6680110856500974,8,-2.5376133132668732,2.074848563273019,NA
3546,Diptera.115,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,NA,Forcipomyia,NA,larva,dry,0.43667736556684433,30,-2.127637907992927,1.2656629890405653,NA
3551,Diptera.15,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,NA,Atrichopogon,NA,larva,dry,0.060995863875498504,21,-1.789019778830544,0.32877440317255396,NA
3566,Diptera.45,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,NA,Culicoides,NA,larva,dry,0.2803731602856456,4,-1.1971754482333536,-1.2801019961132587,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,larva,dry,0.2803731602856456,4,-1.1971754482333536,-1.2801019961132587,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,NA,NA,NA,NA,larva,dry,0.28837089988431547,5,-1.935014288857221,0.8845136219587999,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,NA,Atrichopogon,NA,larva,dry,0.004015579981302649,16,-1.6071943637661683,0.12093036958103857,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,NA,NA,NA,NA,larva,dry,0.004015579981302649,16,-1.6071943637661683,0.12093036958103857,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,larva,dry,0.7427763097267018,40,-2.367297230978128,1.4223818220055198,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,larva,dry,0.5264931158814431,11,-2.3172380306018505,1.747888491600791,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,larva,dry,0.9598565623312522,4,-2.1782591649558096,1.462993894313617,NA
