species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,stage,biomass_type,r_squared,sample_size,intercept,slope,ln_intercept
,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,,,Girardia,,adult,dry,0.86,28,,1.91,-4.01
,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbriculidae,,,,,adult,dry,0.74,28,,3.25,-9.19
,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,adult,dry,0.57,20,,0.74,-2.58
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,stagnalis,adult,wet,0.595,19,,0.88,-1.69
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,,,Erpobdella,octoculata,adult,wet,0.781,63,,0.8,-0.96
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Glossiphonia,complanata,adult,wet,0.633,97,,0.66,-0.18
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,adult,dry,0.935,138,,0.5609,-0.2886
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,adult,dry,0.971,134,,0.7849,0.0922
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,adult,dry,0.717,81,,1.772,1.31
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,adult,dry,0.721,71,,1.524,0.9936
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Daphnia,ambigua,adult,dry,0.921,81,,2.418,1.169
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,silvestrii,adult,dry,0.798,76,,1.76,1.45
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,,,Erpobdella,,adult,dry,1,12,,2.37,-4.71
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Discoconchoecia,pseudodiscophora,adult,dry,0.992,8,-7.751,2.61,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Metaconchoecia,skogsbergi,adult,dry,0.996,7,-7.143,2.42,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Orthoconchoecia,haddoni,adult,dry,0.996,8,-7.511,2.53,
,,Eukaryota,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,adult,dry,,,,2.761,3.682
