species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,functional_group,BS1,BS2,BS3,BS4,BS5,LO1,LO2,LO3,LO4,LO5,LO6,LO7,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,BF1,BF2,BF3,BF4,stage,size_mm,biomass_type,biomass_mg,provenance,abundance
3361,Copepoda.1,Eukarya,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Harpacticoida,NA,Canthocamptidae,NA,NA,Bryocamptus,NA,filter.feeder,3,0,0,0,0,0,1,0,2,3,3,0,0,0,3,1,0,0,0,0,0,0,0,3,larva,NA,NA,NA,NA,0
3366,Branchiopoda.2,Eukarya,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,Daphniidae,NA,NA,NA,NA,filter.feeder,3,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,larva,NA,NA,NA,NA,0
3371,Diptera.222,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,4.5,dry,0.06703333333333333,length.raw,1
3371,Diptera.222,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,5.5,dry,0.1475,length.raw,1
3376,Diptera.223,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,NA,NA,NA,NA,0
3381,Diptera.224,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,NA,NA,NA,NA,0
3386,Diptera.225,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,NA,NA,NA,NA,0
3391,Diptera.226,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,larva,NA,NA,NA,NA,0
3396,Diptera.26,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,larva,NA,NA,NA,NA,0
3401,Diptera.437,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,larva,NA,NA,NA,NA,0
3406,Diptera.27,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,2,1,0,0,3,1,1,1,1,0,0,0,0,0,2,1,larva,NA,NA,NA,NA,0
